COD;CAUSA
A167;Tuberc respir prim s/menc conf bact ou hist
A168;Outr tuber via resp s/menc conf bact hist
A169;Tuberc respirat NE s/menc conf bact ou hist
A170;Meningite tuberc
A171;Tuberculoma meningeo
A178;Outr tuberc do sist nervoso
A179;Tuberc NE do sist nervoso
A180;Tuberc ossea e das articulacoes
A181;Tuberc do aparelho geniturinario
A182;Linfadenopatia tuberc periferica
A183;Tuberc intestino peritonio gangl mesenter
A184;Tuberc de pele e tec celular subcutaneo
A185;Tuberc do olho
A186;Tuberc do ouvido
A187;Tuberc das supra-renais
A188;Tuberc de outr orgaos espec
A190;Tuberc miliar aguda de localiz unica espec
A191;Tuberc miliar aguda de mult localiz
A192;Tuberc miliar aguda NE
A198;Outr tuberc miliares
A199;Tuberc miliar NE
A200;Peste bubonica
A201;Peste celulocutanea
A202;Peste pneumonica
A203;Peste meningea
A207;Peste septicemica
A208;Outr form de peste
A209;Peste form NE
A210;Tularemia ulceroglandular
A211;Tularemia oculoglandular
A212;Tularemia pulmonar
A213;Tularemia gastrointestinal
A217;Tularemia generalizada
A218;Outr form de tularemia
A219;Tularemia form NE
A220;Carbunculo cutaneo
A221;Carbunculo pulmonar
A222;Carbunculo gastrointestinal
A227;Septicemia carbunculosa
A228;Outr form de carbunculo
A229;Carbunculo form NE
A230;Brucelose p/Brucella melitensis
A231;Brucelose p/Brucella abortus
A232;Brucelose p/Brucella suis
A233;Brucelose p/Brucella canis
A238;Outr bruceloses
A239;Brucelose NE
A240;Mormo
A241;Melioidose aguda e fulminante
A242;Melioidose subaguda e cronica
A243;Outr melioidoses
A244;Melioidose NE
A250;Espirilose
A251;Estreptobacilose
A259;Febre transm p/mordedura de rato tipo NE
A260;Erisipeloide cutaneo
A267;Septicemia p/Erysipelothrix
A268;Outr form de erisipeloide
A269;Erisipeloide NE
A270;Leptopirose icterohemorragica
A278;Outr form de leptospirose
A279;Leptospirose NE
A280;Pasteurelose
A281;Doenc p/arranhadura do gato
A282;Yersiniose extra-intestinal
A288;Outr doenc bacter zoonoticas espec NCOP
A289;Doenc bacter zoonotica NE
A300;Hanseniase indeterminada
A301;Hanseniase tuberculoide
A302;Hanseniase tuberculoide borderline
A303;Hanseniase dimorfa
A304;Hanseniase lepromatosa borderline
A305;Hanseniase lepromatosa
A308;Outr form de hanseniase
A309;Hanseniase NE
A310;Infecc pulmonar micobacteriana
A311;Infecc cutanea micobacteriana
A318;Outr infecc micobacterianas
A319;Infecc micobacteriana NE
A320;Listeriose cutanea
A321;Meningite e meningoencefalite p/listeria
A327;Septicemia listeriotica
A328;Outr form de listeriose
A329;Listeriose NE
A33;Tetano do recem-nascido
A34;Tetano obstetrico
A35;Outr tipos de tetano
A360;Difteria faringea
A361;Difteria nasofaringea
A362;Difteria laringea
A363;Difteria cutanea
A368;Outr form de difteria
A369;Difteria NE
A370;Coqueluche p/Bordetella pertussis
A371;Coqueluche p/Bordetella parapertussis
A378;Coqueluche p/outr especies da Bordetella
A379;Coqueluche NE
A38;Escarlatina
A390;Meningite meningococica
A391;Sindr de Waterhouse-Friderichsen
A392;Meningococcemia aguda
A393;Meningococcemia cronica
A394;Meningococcemia NE
A395;Cardite p/meningococos
A398;Outr infecc p/meningococos
A399;Infecc meningococica NE
A400;Septicemia p/Streptococcus do grupo A
A401;Septicemia p/Streptococcus do grupo B
A402;Septicemia p/Streptococcus do grupo D
A403;Septicemia p/Streptococcus pneumonia
A408;Outr septicemias estreptococicas
A409;Septicemia estreptococica NE
A410;Septicemia p/Staphylococcus aureus
A411;Septicemia p/outr estafilococos espec
A412;Septicemia p/estafilococos NE
A413;Septicemia p/Haemophilus influenzae
A414;Septicemia p/anaerobios
A415;Septicemia p/outr microorg gram-negativos
A418;Outr septicemias espec
A419;Septicemia NE
A420;Actinomicose pulmonar
A421;Actinomicose abdominal
A422;Actinomicose cervicofacial
A427;Septicemia actinomicotica
A428;Outr form de actinomicose
A429;Actinomicose NE
A430;Nocardiose pulmonar
A431;Nocardiose cutanea
A438;Outr form de nocardiose
A439;Nocardiose NE
A440;Bartonelose sistemica
A441;Bartonelose cutanea e cutaneo-mucosa
A448;Outr form de bartonelose
A449;Bartonelose NE
A46;Erisipela
A480;Gangrena gasosa
A481;Doenc dos legionarios
A482;Doenc dos legionarios nao-pneumonica
A483;Sindr do choque toxico
A484;Febre purpurica do Brasil
A488;Outr doenc bacter espec
A490;Infecc estafilococica localiz NE
A491;Infecc estreptococica localiz NE
A492;Infecc p/Haemophilus influenzae localiz NE
A493;Infecc p/Mycoplasma localiz NE
A498;Outr infecc bacterianas localiz NE
A499;Infecc bacter NE
A500;Sifilis congen precoce sintomatica
A501;Sifilis congen precoce form latente
A502;Sifilis congen precoce NE
A503;Oculopatia sifilitica congen tard
A504;Neurossifilis congen tard
A505;Outr form tard e sintomat sifilis congen
A506;Sifilis congen tard latente
A507;Sifilis congen tard NE
A509;Sifilis congen NE
A510;Sifilis genital prim
A511;Sifilis anal prim
A512;Sifilis prim de outr localiz
A513;Sifilis secund da pele e das mucosas
A514;Outr form de sifilis secund
A515;Sifilis precoce latente
A519;Sifilis precoce NE
A520;Sifilis cardiovascular
A521;Neurossifilis sintomatica
A522;Neurossifilis assintomatica
A523;Neurossifilis NE
A527;Outr form de sifilis tard sintomatica
A528;Sifilis tard latente
A529;Sifilis tard NE
A530;Sifilis latente NE se recente ou tard
A539;Sifilis NE
A540;Inf gon tr genit inf s/abs periur/gland aces
A541;Inf gon tr genit inf c/abs periur/gland aces
A542;Pelviperit gonoc e outr infecc genitur gonoc
A543;Infecc gonococica do olho
A544;Infecc gonococica sist musculo-esqueletico
A545;Faringite gonococica
A546;Infecc gonococica do anus ou do reto
A548;Outr infecc gonococicas
A549;Infecc gonococica NE
A55;Linfogranuloma p/clamidia
A560;Infecc p/clamidias trato geniturinario infer
A561;Infecc p/clamid pelviper e outr org genitur
A562;Infecc p/clamidias trato genitur localiz NE
A563;Infecc do anus e do reto p/clamidias
A564;Infecc da faringe p/clamidias
A568;Infecc p/clamid transm p/via sex outr local
A57;Cancro mole
A58;Granuloma inguinal
A590;Tricomoniase urogenital
A598;Outr localiz de tricomoniase
A599;Tricomoniase NE
A600;Infecc org genit trat genitur p/virus herpes
A601;Infecc margem cutan anus/reto p/virus herpes
A609;Infecc anogenital NE p/virus do herpes
A630;Verrugas anogenitais
A638;Outr doenc espec de transm predom sexual
A64;Doenc sexualmente transm NE
A65;Sifilis nao-venerea
A660;Lesoes iniciais da bouba
A661;Papilomas mult e bouba plantar umida
A662;Outr lesoes cutaneas precoces da bouba
A663;Hiperceratose dev bouba
A664;Gomas e ulceras dev bouba
A665;Gangosa
A666;Lesoes osteoarticulares dev bouba
A667;Outr manifestacoes da bouba
A668;Bouba latente
A669;Bouba NE
A670;Lesoes prim da pinta
A671;Lesoes intermediarias da pinta
A672;Lesoes tard da pinta
A673;Lesoes mistas da pinta
A679;Pinta NE
A680;Febre recorrente transm p/piolhos
A681;Febre recorrente transm p/carrapatos
A689;Febre recorrente NE
A690;Estomatite ulcerativa necrotizante
A691;Outr infecc de Vincent
A692;Doenc de Lyme
A698;Outr infecc espec p/espiroquetas
A699;Infecc p/espiroqueta NE
A70;Infecc causadas p/Clamidia psittaci
A710;Fase inicial do tracoma
A711;Fase ativa do tracoma
A719;Tracoma NE
A740;Conjuntivite causada p/clamidias
A748;Outr doenc causadas p/clamidias
A749;Infecc causada p/clamidias NE
A750;Tifo epidem transm p/piolhos R. prowazekii
A751;Tifo recrudescente
A752;Tifo p/Rickettsia typhi
A753;Tifo p/Rickettsia tsutsugamuchi
A759;Tifo NE
A770;Febre maculosa p/Rickettsia richettsii
A771;Febre maculosa p/Rickettsia conorii
A772;Febre maculosa dev Rickettsia siberica
A773;Febre maculosa dev Rickettsia australis
A778;Outr febres maculosas
A779;Febre maculosa NE
A78;Febre Q
A790;Febre das trincheiras
A791;Rickettsiose variceliforme dev R.akari
A798;Outr tipos de rickettsioses espec
A799;Rickettsiose NE
A800;Poliomielite paral aguda assoc virus vacinal
A801;Poliomiel paral aguda virus selvagem import
A802;Poliomiel paral aguda virus selvagem indig
A803;Poliomielites paraliticas agudas outr e NE
A804;Poliomielite aguda nao-paralitica
A809;Poliomielite aguda NE
A810;Doenc de Creutzfeldt-Jakob
A811;Panencefalite esclerosante subaguda
A812;Leucoencefalopatia multifocal progressiva
A818;Outr infecc p/virus atipic sist nerv central
A819;Infecc NE sist nerv central p/virus atipicos
A820;Raiva silvestre
A821;Raiva urbana
A829;Raiva NE
A830;Encefalite japonesa
A831;Encefalite equina ocidental
A832;Encefalite equina oriental
A833;Encefalite de St. Louis
A834;Encefalite australiana
A835;Encefalite da California
A836;Doenc p/virus de Rocio
A838;Outr encefalites p/virus transm p/mosquitos
A839;Encefalite NE p/virus transm p/mosquitos
A840;Encefalite da taiga
A841;Encefalite Europa Central transm p/carrapato
A848;Outr encefalites p/virus transm p/carrapatos
A849;Encefalite NE p/virus transm p/carrapatos
A850;Encefalite p/enterovirus
A851;Encefalite p/adenovirus
A852;Encefalite p/virus transm p/artropodes NE
A858;Outr encefalites virais espec
A86;Encefalite viral NE
A870;Meningite p/enterovirus
A871;Meningite p/adenovirus
A872;Coriomeningite linfocitaria
A878;Outr meningites virais
A879;Meningite viral NE
A880;Febre exantematica p/enterovirus
A881;Vertigem epidemica
A888;Outr infecc virais espec sist nerv central
A89;Infecc virais NE do sist nervoso central
A90;Dengue
A91;Febre hemorragica dev virus do dengue
A920;Febre de Chikungunya
A921;Febre de Onyong-nyong
A922;Febre equina venezuelana
A923;Infecção p/virus West Nile
A924;Febre do vale do Rift
A928;Outr febres virais espec transm p/mosquitos
A929;Febre viral transm p/mosquitos NE
A930;Febre de Oropouche
A931;Febre p/flebotomos
A932;Febre do Colorado transm p/carrapatos
A938;Outr febres virais espec transm p/artropodes
A94;Febre viral transm p/artropodes NE
A950;Febre amarela silvestre
A951;Febre amarela urbana
A959;Febre amarela NE
A960;Febre hemorragica de Junin
A961;Febre hemorragica de Machupo
A962;Febre de Lassa
A968;Outr febres hemorragicas p/arenavirus
A969;Febre hemorragica p/arenavirus NE
A980;Febre hemorragica da Crimeia
A981;Febre hemorragica de Omsk
A982;Doenc da floresta de Kyasanur
A983;Doenc de Marburg
A984;Doenc p/virus Ebola
A985;Febre hemorragica c/sindr renal
A988;Outr febres hemorragicas espec p/virus
A99;Febres hemorragicas virais NE
B000;Eczema herpetico
B001;Dermatite vesicular dev virus do herpes
B002;Gengivoestom e faringoamig dev virus herpes
B003;Meningite dev virus do herpes
B004;Encefalite dev virus do herpes
B005;Afeccoes oculares dev virus do herpes
B007;Doenc disseminada dev virus do herpes
B008;Outr form de infecc dev virus do herpes
B009;Infecc NE dev virus do herpes
B010;Meningite p/varicela
B011;Encefalite p/varicela
B012;Pneumopatia varicelosa
B018;Varicela c/outr complic
B019;Varicela s/complic
B020;Encefalite p/virus do herpes zoster
B021;Meningite p/virus do herpes zoster
B022;Herpes zoster acomp outr manif neurologicas
B023;Herpes zoster oftalmico
B027;Herpes zoster disseminado
B028;Herpes zoster c/outr complic
B029;Herpes zoster s/complic
B03;Variola
B04;Variola dos macacos
B050;Sarampo complicado p/encefalite
B051;Sarampo complicado p/meningite
B052;Sarampo complicado p/pneumonia
B053;Sarampo complicado p/otite media
B054;Sarampo c/complic intestinais
B058;Sarampo c/outr complic
B059;Sarampo s/complic
B060;Rubeola c/complic neurologicas
B068;Rubeola c/outr complic
B069;Rubeola s/complic
B07;Verrugas orig viral
B080;Outr infecc p/ortopoxvirus
B081;Molusco contagioso
B082;Exantema subito
B083;Eritema infecc
B084;Estomatite vesic dev enterovirus c/exantema
B085;Faringite vesicular dev enterovirus
B088;Outr inf virais espec lesoes pele membr muco
B09;Inf viral NE caract p/lesoes pele membr muco
B150;Hepatite A c/coma hepatico
B159;Hepatite A s/coma hepatico
B160;Hepatite aguda B c/agente Delta c/coma hepat
B161;Hepatite aguda B c/agente Delta s/coma hepat
B162;Hepatite aguda B s/agente Delta c/coma hepat
B169;Hepatite aguda B s/agente Delta s/coma hepat
B170;Infecc Delta aguda de portador de hepatite B
B171;Hepatite aguda C
B172;Hepatite aguda E
B178;Outr hepatites virais agudas espec
B180;Hepatite viral cronica B c/agente Delta
B181;Hepatite cronica viral B s/agente Delta
B182;Hepatite viral cronica C
B188;Outr hepatites cronicas virais
B189;Hepatite viral cronica NE
B190;Hepatite viral NE c/coma
B199;Hepatite viral NE s/coma
B200;Doenc p/HIV result em infecc micobacterianas
B201;Doenc p/HIV result outr infecc bacter
B202;Doenc p/HIV result em doenc citomegalica
B203;Doenc p/HIV result em outr infecc virais
B204;Doenc p/HIV result em candidiase
B205;Doenc p/HIV result em outr micoses
B206;Doenc p/HIV result pneumonia p/P.jirovecii
B207;Doenc p/HIV result em infecc mult
B208;Doenc p/HIV result outr doenc infecc parasit
B209;Doenc p/HIV result doenc infecc parasit NE
B210;Doenc p/HIV result em sarcoma de Kaposi
B211;Doenc p/HIV result em linfoma de Burkitt
B212;Doenc p/HIV res outr tip linfoma nao-Hodgkin
B213;Doenc p/HIV out neop mal tec linf hemat corr
B217;Doenc p/HIV result em mult neopl malig
B218;Doenc p/HIV result em outr neopl malig
B219;Doenc p/HIV result em neopl malig NE
B220;Doenc p/HIV result em encefalopatia
B221;Doenc p/HIV result pneumonite interst linfat
B222;Doenc p/HIV result em sindr de emaciacao
B227;Doenc p/HIV result em doenc mult COP
B230;Sindr de infecc aguda p/HIV
B231;Doenc p/HIV result linfadenopatias generaliz
B232;Doenc p/HIV result anom hemat imunolog NCOP
B238;Doenc p/HIV result em outr afeccoes espec
B24;Doenc p/HIV NE
B250;Pneumonite p/citomegalovirus
B251;Hepatite p/citomegalovirus
B252;Pancreatite p/citomegalovirus
B258;Outr doenc p/citomegalovirus
B259;Doenc NE p/citomegalovirus
B260;Orquite p/caxumba
B261;Meningite p/caxumba
B262;Encefalite p/caxumba
B263;Pancreatite p/caxumba
B268;Caxumba c/outr complic
B269;Caxumba s/complic
B270;Mononucleose p/virus herpes gama
B271;Mononucleose p/citomegalovirus
B278;Outr mononucleoses infecc
B279;Mononucleose infecc NE
B300;Ceratoconjuntivite dev adenovirus
B301;Conjuntivite dev adenovirus
B302;Faringoconjuntivite viral
B303;Conjuntivite hemorragica aguda endemica
B308;Outr conjuntivites virais
B309;Conjuntivite viral NE
B330;Mialgia epidemica
B331;Doenc de Ross River
B332;Cardite viral
B333;Infecc p/retrovirus NCOP
B334;Síndrome (cardio-)pulmonar por Hantavírus
B338;Outr doenc espec p/virus
B340;Infecc p/adenovirus local NE
B341;Infecc p/enterovirus localiz NE
B342;Infecc p/coronavirus localiz NE
B343;Infecc p/parvovirus localiz NE
B344;Infecc p/papovavirus localiz NE
B348;Outr infecc p/virus localiz NE
B349;Infecc viral NE
B350;Tinha da barba e do couro cabeludo
B351;Tinha das unhas
B352;Tinha da mao
B353;Tinha dos pes
B354;Tinha do corpo
B355;Tinha imbricada
B356;Tinea cruris
B358;Outr dermatofitoses
B359;Dermatofitose NE
B360;Pitiriase versicolor
B361;Tinha negra
B362;Piedra branca
B363;Piedra negra
B368;Outr micoses superf espec
B369;Micose superf NE
B370;Estomatite p/Candida
B371;Candidiase pulmonar
B372;Candidiase da pele e das unhas
B373;Candidiase da vulva e da vagina
B374;Candidiase de outr localiz urogenitais
B375;Meningite p/Candida
B376;Endocardite p/Candida
B377;Septicemia p/Candida
B378;Candidiase de outr localiz
B379;Candidiase NE
B380;Coccidioidomicose pulmonar aguda
B381;Coccidioidomicose pulmonar cronica
B382;Coccidioidomicose pulmonar NE
B383;Coccidioidomicose cutanea
B384;Meningite p/coccidioidomicose
B387;Coccidioidomicose disseminada
B388;Outr form de coccidioidomicose
B389;Coccidioidomicose NE
B390;Histoplasmose pulmonar aguda p/H.capsulatum
B391;Histoplasmose pulmonar cronic p/H.capsulatum
B392;Histoplasmose pulmonar NE p/H.capsulatum
B393;Histoplasmose disseminada p/H.capsulatum
B394;Histoplasmose NE p/Histoplasma capsulatum
B395;Histoplasmose p/Histoplasma duboisii
B399;Histoplasmose NE
B400;Blastomicose pulmonar aguda
B401;Blastomicose pulmonar cronica
B402;Blastomicose pulmonar NE
B403;Blastomicose cutanea
B407;Blastomicose disseminada
B408;Outr form de blastomicose
B409;Blastomicose NE
B410;Paracoccidioidomicose pulmonar
B417;Paracoccidioidomicose disseminada
B418;Outr form de paracoccidioidomicose
B419;Paracoccidioidomicose NE
B420;Esporotricose pulmonar
B421;Esporotricose linfocutanea
B427;Esporotricose disseminada
B428;Outr form de esporotricose
B429;Esporotricose NE
B430;Cromomicose cutanea
B431;Abscesso cerebral feomicotico
B432;Abscesso e cisto feomicotico subcutaneos
B438;Outr form de cromomicose
B439;Cromomicose NE
B440;Aspergilose pulmonar invasiva
B441;Outr aspergiloses pulmonares
B442;Aspergilose amigdaliana
B447;Aspergilose disseminada
B448;Outr form de Aspergilose
B449;Aspergilose NE
B450;Criptococose pulmonar
B451;Criptococose cerebral
B452;Criptococose cutanea
B453;Criptococose ossea
B457;Criptococose disseminada
B458;Outr form de criptococose
B459;Criptococose NE
B460;Mucormicose pulmonar
B461;Mucormicose rinocerebral
B462;Mucormicose gastrointestinal
B463;Mucormicose cutanea
B464;Mucormicose disseminada
B465;Mucormicose NE
B468;Outr zigomicoses
B469;Zigomicose NE
B470;Eumicetoma
B471;Actinomicetoma
B479;Micetoma NE
B480;Lobomicose
B481;Rinosporidiose
B482;Alesqueriose
B483;Geotricose
B484;Penicilose
B487;Micoses oportunistas
B488;Outr micoses espec
B49;Micose NE
B500;Malaria p/P.falciparum c/complic cerebrais
B508;Outr form grav compl malaria p/P.falciparum
B509;Malaria NE p/Plasmodium falciparum
B510;Malaria p/Plasmodium vivax c/rotura do baco
B518;Malaria p/Plasmodium vivax c/outr complic
B519;Malaria p/Plasmodium vivax s/complic
B520;Malaria p/Plasmodium malariae c/nefropatia
B528;Malaria p/Plasmodium malariae c/outr complic
B529;Malaria p/Plasmodium malariae s/complic
B530;Malaria p/Plasmodium ovale
B531;Malaria p/plasmodios de macacos
B538;Outr form malarias c/conf parasitolog NCOP
B54;Malaria NE
B550;Leishmaniose visceral
B551;Leishmaniose cutanea
B552;Leishmaniose cutaneo-mucosa
B559;Leishmaniose NE
B560;Tripanossomiase p/Trypanosoma gambiense
B561;Tripanossomiase p/Trypanosoma rhodesiense
B569;Tripanossomiase africana NE
B570;Form aguda doenc de Chagas c/compr cardiaco
B571;Form aguda doenc de Chagas s/compr cardiaco
B572;Doenc de Chagas c/compr cardiaco
B573;Doenc de Chagas c/compr aparelho digestivo
B574;Doenc de Chagas c/compr do sist nervoso
B575;Doenc de Chagas c/compr de outr orgaos
B580;Oculopatia p/Toxoplasma
B581;Hepatite p/Toxoplasma
B582;Meningoencefalite p/Toxoplasma
B583;Toxoplasmose pulmonar
B588;Toxoplasmose c/compr de outr orgaos
B589;Toxoplasmose NE
B59;Pneumocistose
B600;Babesiose
B601;Acantamebiase
B602;Naegleriase
B608;Outr doenc espec dev protozoarios
B64;Doenc NE dev protozoarios
B650;Esquistossomose dev Schistosoma haematobium
B651;Esquistossomose dev Schistosoma mansoni
B652;Esquistossomose dev Schistosoma japonicum
B653;Dermatite p/cercarias
B658;Outr esquistossomoses
B659;Esquistossomose NE
B660;Opistorquiase
B661;Clonorquiase
B662;Dicroceliase
B663;Fascioliase
B664;Paragonimiase
B665;Fasciolopsiase
B668;Outr infestacoes p/trematodeos espec
B669;Infecc NE p/trematodeo
B670;Infestacao hepatica p/E.granulosus
B671;Infestacao pulmonar p/E.granulosus
B672;Infestacao ossea p/Echinococcus granulosus
B673;Infestacoes p/E.granulosus outr e local mult
B674;Infestacao NE p/Echinococcus granulosus
B675;Infestacao hepatica p/E.multilocularis
B676;Infecc p/E.multilocularis outr e local mult
B677;Infestacao NE p/Echinococcus multilocularis
B678;Infestacao hepatica NE p/Echinococcus
B679;Infestacoes p/Echinococcus outr e as NE
B680;Infestacao p/Taenia solium
B681;Infestacao p/Taenia saginata
B689;Infestacao NE p/Taenia
B690;Cisticercose do sist nervoso central
B691;Cisticercose do olho
B698;Cisticercose de outr localiz
B699;Cisticercose NE
B700;Difilobotriase
B701;Esparganose
B710;Infestacao p/Hymenolepis
B711;Infestacao p/Dipylidium
B718;Outr infestacoes espec p/cestoides
B719;Infestacao NE p/cestoides
B72;Dracontiase
B73;Oncocercose
B740;Filariose p/Wuchereria bancrofti
B741;Filariose p/Brugia malayi
B742;Filariose p/Brugia timori
B743;Loaiase
B744;Mansonelose
B748;Outr filarioses
B749;Filariose NE
B75;Triquinose
B760;Ancilostomose
B761;Necatoriase
B768;Outr ancilostomiases
B769;Ancilostomiase NE
B770;Ascaridiase c/complic intestinais
B778;Ascaridiase c/outr complic
B779;Ascaridiase NE
B780;Estrongiloidiase intestinal
B781;Estrongiloidiase cutanea
B787;Estrongiloidiase disseminada
B789;Estrongiloidiase NE
B79;Tricuriase
B80;Oxiuriase
B810;Anisaquiase
B811;Capilariase intestinal
B812;Tricostrongilose
B813;Angiostrongilíase intestinal
B814;Helmintiases intestinais mistas
B818;Outr helmintiases intestinais espec
B820;Helmintiase intestinal NE
B829;Parasitose intestinal NE
B830;Larva migrans visceral
B831;Gnatostomiase
B832;Angrostrongilíase dev P.cantonensis
B833;Singamose
B834;Hirudiniase interna
B838;Outr helmintiases espec
B839;Helmintiase NE
B850;Pediculose dev Pediculus humanus capitis
B851;Pediculose dev Pediculus humanus corporis
B852;Pediculose NE
B853;Ftiriase
B854;Pediculose e ftiriase mista
B86;Escabiose
B870;Miiase cutanea
B871;Miiase das feridas
B872;Miiase ocular
B873;Miiase nasofaringea
B874;Miiase auricular
B878;Miiase de outr localiz
B879;Miiase NE
B880;Outr acariases
B881;Tungiase
B882;Outr infestacoes p/artropodos
B883;Hirudiniase externa
B888;Outr infestacoes espec
B889;Infestacao NE
B89;Doenc parasit NE
B900;Sequelas de tuberc do sist nervoso central
B901;Sequelas de tuberc geniturinaria
B902;Sequelas de tuberc ossea e das articulacoes
B908;Sequelas de tuberc de outr orgaos
B909;Sequelas de tuberc vias respirat e orgaos NE
B91;Sequelas de poliomielite
B92;Sequelas de hanseniase
B940;Sequelas de tracoma
B941;Sequelas de encefalite viral
B942;Sequelas de hepatite viral
B948;Sequelas outr doenc infecc e parasit espec
B949;Sequelas de doenc infecc ou parasit NE
B950;Estreptoc grupo A causa doenc class outr cap
B951;Estreptoc grupo B causa doenc class outr cap
B952;Estreptoc grupo D causa doenc class outr cap
B953;S. pneumoniae causa doenc class outr cap
B954;Outr estreptococo causa doenc class outr cap
B955;Estreptococo NE causa doenc class outr cap
B956;S.aureus causa doenc class outr cap
B957;Outr estafilococo causa doenc class outr cap
B958;Estafilococo NE causa doenc class outr cap
B960;M.pneumoniae causa doenc class outr cap
B961;K.pneumoniae como doenc class outr cap
B962;Escherichia coli como doenc class outr cap
B963;H.influenzae como doenc class outr cap
B964;Proteus como doenc class outr cap
B965;Pseudomonas como doenc class outr cap
B966;Bacillus fragilis como doenc class outr cap
B967;C.perfringens como doenc class outr cap
B968;Outr ag bact espec como doenc class outr cap
B970;Adenovirus como doenc class outr cap
B971;Enterovirus como doenc class outr cap
B972;Coronavirus como doenc class outr cap
B973;Retrovirus como doenc class outr cap
B974;Virus sincic resp como doenc class outr cap
B975;Reovirus como doenc class outr cap
B976;Parvovirus como doenc class outr cap
B977;Papilomavirus como doenc class outr cap
B978;Outr agent virais como doenc class outr cap
B99;Doenc infecc outr e as NE
C000;Labio super externo
C001;Labio infer externo
C002;Labio externo NE
C003;Labio super face interna
C004;Labio infer face interna
C005;Labio s/especificacao face interna
C006;Comissura labial
C008;Lesao invasiva do labio
C009;Labio NE
C01;Neopl malig da base da lingua
C020;Face dorsal da lingua
C021;Borda da lingua
C022;Face ventral da lingua
C023;Dois tercos anteriores da lingua parte NE
C024;Amigdala lingual
C028;Lesao invasiva da lingua
C029;Lingua NE
C030;Gengiva super
C031;Gengiva infer
C039;Gengiva NE
C040;Assoalho anterior da boca
C041;Assoalho lateral da boca
C048;Lesao invasiva do assoalho da boca
C049;Assoalho da boca NE
C050;Palato duro
C051;Palato mole
C052;Uvula
C058;Lesao invasiva do palato
C059;Palato NE
C060;Mucosa oral
C061;Vestibulo da boca
C062;Area retromolar
C068;Lesao invasiva outr partes e partes NE boca
C069;Boca NE
C07;Neopl malig da gland parotida
C080;Gland submandibular
C081;Gland sublingual
C088;Lesao invasiva de gland salivares maiores
C089;Gland salivar maior NE
C090;Fossa amigdaliana
C091;Pilar amigdaliano
C098;Lesao invasiva da amigdala
C099;Amigdala NE
C100;Valecula
C101;Face anterior da epiglote
C102;Parede lateral da orofaringe
C103;Parede posterior da orofaringe
C104;Fenda branquial
C108;Lesao invasiva da orofaringe
C109;Orofaringe NE
C110;Parede super da nasofaringe
